Pos.,Piloto,Equipe,Grid,Paradas,Melhor tempo,Tempo,Pts.,tipo de piloto
25:43.682,19,Gabriel,Visa Cash App Racing Bulls,Corte de curvas,Aviso,,,
25:47.981,20,Bryan,Scuderia Ferrari HP,Limites da pista excedidos,Aviso,,,
25:48.005,20,Bryan,Scuderia Ferrari HP,Múltiplas advertências,3 segundo(s),,,
27:39.643,21,Matheus,Visa Cash App Racing Bulls,Limites da pista excedidos,Aviso,,,
28:37.266,21,Gabriel,Visa Cash App Racing Bulls,Limites da pista excedidos,Aviso,,,
28:37.271,21,Gabriel,Visa Cash App Racing Bulls,Múltiplas advertências,3 segundo(s),,,
29:11.661,22,Yohan,Red Bull,Limites da pista excedidos,Aviso,,,
29:25.207,22,Douglas,Mercedes-AMG Petronas,Limites da pista excedidos,Aviso,,,
29:25.214,22,Douglas,Mercedes-AMG Petronas,Múltiplas advertências,3 segundo(s),,,
32:25.306,25,Pessoa,Scuderia Ferrari HP,Limites da pista excedidos,Aviso,,,
32:25.323,25,Pessoa,Scuderia Ferrari HP,Múltiplas advertências,3 segundo(s),,,
33:31.886,25,Douglas,Mercedes-AMG Petronas,Limites da pista excedidos,Aviso,,,
34:11.713,25,Gabriel,Visa Cash App Racing Bulls,Limites da pista excedidos,Aviso,,,
35:47.139,26,Pessoa,Red Bull,Limites da pista excedidos,Aviso,,,
36:07.124,27,Pessoa,Scuderia Ferrari HP,Limites da pista excedidos,Aviso,,,
36:51.922,28,Gabriel,Visa Cash App Racing Bulls,Limites da pista excedidos,Aviso,,,
37:18.516,28,Douglas,Mercedes-AMG Petronas,Limites da pista excedidos,Aviso,,,
37:31.819,29,Pessoa,Scuderia Ferrari HP,Limites da pista excedidos,Aviso,,,
38:57.432,30,Douglas,Mercedes-AMG Petronas,Limites da pista excedidos,Aviso,,,
38:57.438,30,Douglas,Mercedes-AMG Petronas,Múltiplas advertências,3 segundo(s),,,
39:11.873,29,Gabriel,Visa Cash App Racing Bulls,Limites da pista excedidos,Aviso,,,
39:11.885,29,Gabriel,Visa Cash App Racing Bulls,Múltiplas advertências,3 segundo(s),,,
40:53.274,31,Gabriel,Visa Cash App Racing Bulls,Limites da pista excedidos,Aviso,,,
41:13.874,31,Pessoa,Red Bull,Limites da pista excedidos,Aviso,,,
41:13.892,31,Pessoa,Red Bull,Múltiplas advertências,3 segundo(s),,,
41:19.982,32,Pessoa,Scuderia Ferrari HP,Limites da pista excedidos,Aviso,,,
41:20.000,32,Pessoa,Scuderia Ferrari HP,Múltiplas advertências,3 segundo(s),,,
41:42.081,32,Douglas,Mercedes-AMG Petronas,Limites da pista excedidos,Aviso,,,
42:08.020,31,Pessoa,Red Bull,Limites da pista excedidos,Aviso,,,
42:25.998,32,Pessoa,Scuderia Ferrari HP,Limites da pista excedidos,Aviso,,,
42:49.112,33,Douglas,Mercedes-AMG Petronas,Limites da pista excedidos,Aviso,,,
43:02.116,33,Pessoa,Scuderia Ferrari HP,Corte de curvas,Aviso,,,
43:02.134,33,Pessoa,Scuderia Ferrari HP,Ganho de tempo ilegal,Aviso,,,
43:17.578,33,Pessoa,Scuderia Ferrari HP,Limites da pista excedidos,Aviso,,,
43:17.596,33,Pessoa,Scuderia Ferrari HP,Múltiplas advertências,3 segundo(s),,,
43:36.405,32,Pessoa,Red Bull,Limites da pista excedidos,Aviso,,,
43:48.908,33,Pessoa,Scuderia Ferrari HP,Limites da pista excedidos,Aviso,,,
43:48.910,33,Pessoa,Scuderia Ferrari HP,Recebeu várias punições,DSQ,,,
44:45.302,34,Gabriel,Visa Cash App Racing Bulls,Limites da pista excedidos,Aviso,,,
44:53.100,34,Yohan,Red Bull,Limites da pista excedidos,Aviso,,,
44:53.106,34,Yohan,Red Bull,Múltiplas advertências,3 segundo(s),,,
45:13.293,34,Pessoa,Red Bull,Limites da pista excedidos,Aviso,,,
45:13.308,34,Pessoa,Red Bull,Múltiplas advertências,3 segundo(s),,,
45:20.919,35,Yohan,Red Bull,Corte de curvas,Aviso,,,
